,Country,Number schools,Population (number)
3,Belarus,4,9379952.0
7,Bulgaria,6,6934015.0
11,Estonia,1,1329479.0
15,Hungary,4,9750149.0
19,Latvia,2,1900449.0
23,Lithuania,2,2794885.0
27,Poland,12,37899070.0
31,Romania,11,19257520.0
35,Slovenia,2,2102419.0
39,Ukraine,23,44132049.0
43,Austria,4,8916864.0
47,Belgium,9,11544241.0
51,Denmark,4,5831404.0
55,Finland,5,5529543.0
59,France,33,67379908.0
63,Germany,37,83160871.0
67,Greece,7,10700556.0
71,Iceland,1,366463.0
75,Ireland,6,4985674.0
79,Italy,29,59449527.0
83,Luxembourg,0,630419.0
87,Netherlands,8,17441500.0
91,Norway,4,5379475.0
95,Portugal,8,10297081.0
99,Spain,38,47363419.0
103,Sweden,6,10353442.0
107,Switzerland,5,8636561.0
111,United Kingdom,32,67081000.0
115,Algeria,11,43851043.0
119,Egypt,18,100388076.0
123,Iran,49,82913893.0
127,Iraq,13,40222503.0
131,Israel,4,9215100.0
135,Jordan,4,10203140.0
139,Lebanon,7,6825442.0
143,Libya,4,6871287.0
147,Morocco,5,36910558.0
151,Tunisia,4,11818618.0
155,Yemen,6,5380504.0
159,Bahrain,4,1701583.0
163,Kuwait,1,4270563.0
167,Oman,2,5106622.0
171,Qatar,1,2881060.0
175,Saudi Arabia,25,34813867.0
179,United Arab Emirates,4,9890400.0
