,Country,Total Fees per Year (USD) MIN,Total Fees per Year (USD) MAX,Average Annual Net Salary (US$)
0,Belarus,4374.0,5204.0,5858.5199999999995
1,Bulgaria,9000.0,12000.0,8406.24
2,Czech Republic,12544.0,18119.0,17105.52
3,Estonia,6307.0,7795.0,15092.28
4,Hungary,20539.0,21039.0,9499.56
5,Latvia,4778.0,16828.0,11011.92
6,Lithuania,14505.0,18005.0,12684.84
7,Poland,12038.0,20571.0,11776.56
8,Romania,6551.0,13894.0,8735.52
9,Russia,3280.0,8600.0,9891.0
10,Slovakia,15928.0,16625.0,11601.84
11,Slovenia,8341.0,14704.0,14304.24
12,Ukraine,5650.0,7500.0,4737.84
13,Austria,4215.0,12452.0,26105.760000000002
14,Belgium,10586.0,14781.0,28259.52
15,Denmark,6450.0,31616.0,39536.64
16,Finland,5125.0,6075.0,30506.52
17,France,14168.0,34845.0,27973.56
18,Germany,8463.0,12126.0,34027.08
19,Greece,10063.0,19680.0,9497.880000000001
20,Iceland,3448.0,12569.0,38845.32
21,Ireland,12405.0,33591.0,32494.08
22,Italy,6690.0,20210.0,17956.800000000003
23,Netherlands,11805.0,26259.0,38586.24
24,Norway,8911.0,15326.0,41492.28
25,Portugal,6993.0,17832.0,11817.0
26,Spain,6000.0,27701.0,20539.800000000003
27,Sweden,35699.0,47442.0,31965.120000000003
28,Switzerland,14615.0,28092.0,73705.20000000001
29,United Kingdom,26769.0,44718.0,33174.840000000004
30,Algeria,3680.0,15180.0,3104.6400000000003
31,Egypt,7251.23,21466.27,2095.92
32,Iran,6000.0,29800.0,4664.5199999999995
33,Israel,20250.0,23250.0,33193.92
34,Lebanon,9430.0,36020.0,10046.28
35,Libya,4060.0,16747.8,3335.16
36,Morocco,683.4322,4309.931,4349.28
37,Tunisia,1877.516,7218.32,3264.12
38,Turkey,6100.0,26460.0,3870.84
39,Bahrain,43430.0,112045.0,20744.88
40,Kuwait,25415.0,31607.0,22253.4
41,Oman,22500.0,41500.0,19519.68
42,Qatar,63753.0,85625.0,38016.600000000006
43,Saudi Arabia,23500.0,46500.0,22664.16
44,United Arab Emirates,41294.0,71046.0,43959.24
